codigo,nombre,padre,grupo,rubro,tipo,account_type
41.05.01,Ingresos por Comisiones y Agencia,41.05,0,Income,,
41.09,Deducciones de Ingresos,41,1,Income,,
41.09.01,Devoluciones y Reembolsos sobre Ventas,41.09,0,Income,,
41.09.02,Descuentos y Rebajas sobre Ventas,41.09,0,Income,,
42,Otros Ingresos Operativos,4,1,Income,,
42.01.01,Ingresos por Arrendamientos Operativos y Alquileres,42,0,Income,,
42.09.01,Otros Ingresos Operativos,42,0,Income,,
5,Costo de Ventas,,1,Cost,,
51,Costo de Bienes Vendidos,5,1,Cost,,
51.01,Costos de Mercancías y Productos,51,1,Cost,,
51.01.01,Costo de Mercancías y Productos Vendidos,51.01,0,Cost,,cost_of_goods_sold
51.01.02,Mermas y Ajustes de Inventario,51.01,0,Cost,,inventory_adjustment
51.01.03,Deterioro y Reducciones de Valor de Inventarios,51.01,0,Cost,,
51.01.04,Ajustes del Activo por Devoluciones,51.01,0,Cost,,
51.02,Costos de Producción,51,1,Cost,,
51.02.01,Materiales Directos Consumidos,51.02,0,Cost,,
51.02.02,Mano de Obra Directa,51.02,0,Cost,,
51.02.03,Costos Indirectos de Producción,51.02,0,Cost,,
51.02.04,Variaciones de Producción,51.02,0,Cost,,
52,Costo de Servicios,5,1,Cost,,
52.01.01,Mano de Obra Directa — Servicios,52,0,Cost,,
52.01.02,Subcontratistas — Servicios,52,0,Cost,,
52.01.03,Materiales y Suministros Directos — Servicios,52,0,Cost,,
52.01.09,Otros Costos Directos de Servicios,52,0,Cost,,
6,Gastos Operativos,,1,Expense,,
61,Gastos de Venta y Distribución,6,1,Expense,,
61.01.01,Gastos de Publicidad y Mercadeo,61,0,Expense,,expense
61.02.01,Comisiones sobre Ventas,61,0,Expense,,
61.03.01,Fletes y Entregas a Clientes,61,0,Expense,,
61.04.01,Salarios y Beneficios del Personal de Ventas,61,0,Expense,,
61.05.01,Viajes y Representación de Ventas,61,0,Expense,,
61.09.01,Otros Gastos de Venta y Distribución,61,0,Expense,,
62,Gastos de Administración,6,1,Expense,,
62.01.01,Sueldos y Salarios — Administración,62,0,Expense,,
62.02.01,Beneficios a los Empleados — Administración,62,0,Expense,,
62.03.01,Gastos de Alquiler y Arrendamientos Operativos,62,0,Expense,,
62.04.01,Servicios Públicos,62,0,Expense,,
62.05.01,Gastos de Seguros,62,0,Expense,,
62.06.01,Honorarios Profesionales,62,0,Expense,,
62.07.01,"Tecnología, Software y Suscripciones",62,0,Expense,,
62.08.01,Suministros de Oficina,62,0,Expense,,
62.09.01,Reparaciones y Mantenimiento,62,0,Expense,,
62.10.01,Gastos de Viaje,62,0,Expense,,
62.11.01,Gastos de Capacitación,62,0,Expense,,
62.12.01,Licencias y Permisos,62,0,Expense,,
62.13.01,Comisiones y Gastos Bancarios,62,0,Expense,,
62.14.01,Gastos por Pagos Basados en Acciones,62,0,Expense,,
62.19.01,Otros Gastos de Administración,62,0,Expense,,expense
63,Depreciación y Amortización,6,1,Expense,,
63.01.01,"Depreciación — Propiedades, Planta y Equipo",63,0,Expense,,
63.02.01,Depreciación — Propiedades de Inversión,63,0,Expense,,
63.03.01,Amortización — Activos Intangibles,63,0,Expense,,
63.04.01,Amortización — Plusvalía,63,0,Expense,,
63.05.01,Amortización — Costos de Cumplimiento de Contratos,63,0,Expense,,
63.06.01,Depreciación — Activos Biológicos,63,0,Expense,,
64,Gastos por Deterioro y Provisiones,6,1,Expense,,
64.01.01,Pérdida por Deterioro — Cuentas por Cobrar y Activos Financieros,64,0,Expense,,
64.02.01,"Pérdida por Deterioro — Propiedades, Planta y Equipo",64,0,Expense,,
64.03.01,Pérdida por Deterioro — Activos Intangibles,64,0,Expense,,
64.04.01,Pérdida por Deterioro — Plusvalía,64,0,Expense,,
64.05.01,Pérdida por Deterioro — Propiedades de Inversión,64,0,Expense,,
64.06.01,Pérdida por Deterioro — Activos Biológicos,64,0,Expense,,
64.07.01,Gasto por Provisión de Garantías,64,0,Expense,,
64.08.01,Gasto por Provisión de Contratos Onerosos,64,0,Expense,,
64.09.01,Gasto por Provisión de Reestructuración,64,0,Expense,,
64.10.01,Gasto por Provisión de Litigios,64,0,Expense,,
64.11.01,Gasto por Provisión de Desmantelamiento y Restauración,64,0,Expense,,
65,"Gastos de Investigación, Desarrollo e Inicio",6,1,Expense,,
65.01.01,Gastos de Investigación y Desarrollo,65,0,Expense,,
65.02.01,Gastos de Inicio y Preapertura,65,0,Expense,,
65.03.01,Gastos de Reubicación y Reorganización,65,0,Expense,,
69,Gastos Operativos de Sistema y Misceláneos,6,1,Expense,,
69.01.01,Diferencias de Conciliación Bancaria,69,0,Expense,,bank_difference
69.02.01,Diferencias de Redondeo,69,0,Expense,,rounding
69.09.01,Otros Gastos Operativos Misceláneos,69,0,Expense,,
7,Otros Ingresos y Ganancias,,1,Income,,
71,Ingresos Financieros y de Inversiones,7,1,Income,,
71.01.01,Ingresos por Intereses,71,0,Income,,
71.02.01,Ingresos por Dividendos,71,0,Income,,
71.03.01,Ingresos por Arrendamientos Financieros,71,0,Income,,
72,Participación en Ganancias de Asociadas y Entidades Controladas Conjuntamente,7,1,Income,,
72.01.01,Participación en Ganancias — Asociadas,72,0,Income,,
72.02.01,Participación en Ganancias — Entidades Controladas Conjuntamente,72,0,Income,,
73,Otras Ganancias,7,1,Income,,
73.01.01,Ganancia Cambiaria Realizada,73,0,Income,,exchange_gain
73.02.01,Ganancia Cambiaria No Realizada,73,0,Income,,unrealized_exchange_gain
73.03.01,Ganancia por Disposición de Activos No Corrientes,73,0,Income,,
73.04.01,Ganancia por Valor Razonable — Propiedades de Inversión,73,0,Income,,
73.05.01,Ganancia por Valor Razonable — Instrumentos Financieros,73,0,Income,,
73.06.01,Ganancia por Valor Razonable — Activos Biológicos,73,0,Income,,
73.07.01,Ganancia por Compra en Condiciones Ventajosas,73,0,Income,,
73.08.01,Ganancia por Reversión de Deterioro,73,0,Income,,
73.09.01,Ingresos por Subvenciones del Gobierno,73,0,Income,,
73.19.01,Otras Ganancias,73,0,Income,,
8,Costos Financieros y Otros Gastos,,1,Expense,,
81,Costos Financieros,8,1,Expense,,
81.01.01,Gastos por Intereses — Préstamos,81,0,Expense,,
81.02.01,Cargos Financieros — Arrendamientos Financieros,81,0,Expense,,
81.03.01,Interés Efectivo y Costos de Financiación,81,0,Expense,,
81.04.01,Diferencias Cambiarias Tratadas como Costos por Préstamos,81,0,Expense,,
81.09.01,Otros Costos Financieros,81,0,Expense,,
82,Participación en Pérdidas de Asociadas y Entidades Controladas Conjuntamente,8,1,Expense,,
82.01.01,Participación en Pérdidas — Asociadas,82,0,Expense,,
82.02.01,Participación en Pérdidas — Entidades Controladas Conjuntamente,82,0,Expense,,
83,Otras Pérdidas,8,1,Expense,,
83.01.01,Pérdida Cambiaria Realizada,83,0,Expense,,exchange_loss
83.02.01,Pérdida Cambiaria No Realizada,83,0,Expense,,unrealized_exchange_loss
83.03.01,Pérdida por Disposición de Activos No Corrientes,83,0,Expense,,
83.04.01,Pérdida por Valor Razonable — Propiedades de Inversión,83,0,Expense,,
83.05.01,Pérdida por Valor Razonable — Instrumentos Financieros,83,0,Expense,,
83.06.01,Pérdida por Valor Razonable — Activos Biológicos,83,0,Expense,,
83.09.01,Otras Pérdidas,83,0,Expense,,
9,Gasto por Impuesto a las Ganancias,,1,Expense,,
91,Gasto por Impuesto Corriente,9,1,Expense,,
91.01.01,Gasto por Impuesto Corriente sobre las Ganancias,91,0,Expense,,
91.02.01,Ajustes de Impuesto Corriente de Periodos Anteriores,91,0,Expense,,
92,Gasto por Impuesto Diferido,9,1,Expense,,
92.01.01,Gasto o Beneficio por Impuesto Diferido,92,0,Expense,,
